Country,Density_km,Density_Mi,Population,Area_km2
Afghanistan,59.6850,154.5841,38928.3460,65223
Albania,100.1043,259.2700,2877.7970,2874
Algeria,18.4113,47.6854,43851.0440,238174
Andorra,165.0962,427.5990,77.2650,46
Angola,26.3626,68.2792,32866.2720,124670
Antigua and Barbuda,221.5588,573.8374,97.9290,44
Argentina,16.2551,42.1008,45195.7740,278040
Armenia,99.6282,258.0372,2963.2430,2974
Aruba,593.1444,1536.2441,106.7660,18
Australia,3.3151,8.5861,25499.8840,769202
Austria,107.3839,278.1244,9006.3980,8387
Azerbaijan,117.0806,303.2387,10139.1770,8660
Bahamas,28.2037,73.0475,393.2440,1394
Bahrain,2224.2810,5760.8879,1701.5750,76
Bangladesh,1116.0086,2890.4622,164689.3830,14757
Barbados,668.3140,1730.9331,287.3750,43
Belarus,45.5170,117.8890,9449.3230,20760
Belgium,379.6391,983.2653,11589.6230,3052
Belize,17.3138,44.8427,397.6280,2296
Benin,107.6450,278.8007,12123.2000,11262
Bermuda,1153.2963,2987.0374,62.2780,5
Bhutan,20.0971,52.0515,771.6080,3839
Bolivia (Plurinational State of),10.6255,27.5202,11673.0210,109858
Bosnia and Herzegovina,64.0672,165.9341,3280.8190,5120
Botswana,4.0406,10.4651,2351.6270,58200
Brazil,24.9607,64.6482,212559.4170,851576
British Virgin Islands,200.2053,518.5317,30.2310,15
Brunei Darussalam,75.8853,196.5430,437.4790,576
Bulgaria,62.6669,162.3073,6948.4450,11087
Burkina Faso,76.5780,198.3371,20903.2730,27296
Burundi,427.2036,1106.4572,11890.7840,2783
Cambodia,92.3521,239.1920,16718.9650,18103
Cameroon,55.8341,144.6102,26545.8630,47544
Canada,3.7800,9.7902,37742.1540,998467
Cabo Verde,137.8594,357.0559,555.9870,403
Cayman Islands,248.9470,644.7727,65.7220,26
Central African Republic,7.7526,20.0793,4829.7670,62298
Chad,12.7927,33.1332,16425.8640,128400
Chile,25.2826,65.4819,19116.2010,75610
China,148.2775,384.0387,1439323.7760,970696
Colombia,44.5658,115.4254,50882.8910,114174
Comoros,467.0252,1209.5954,869.6010,186
Costa Rica,99.6892,258.1950,5094.1180,5110
Croatia,72.5389,187.8758,4105.2670,5659
Cuba,103.0779,266.9719,11326.6160,10988
Curacao,369.5788,957.2092,164.0930,44
Cyprus,130.5112,338.0240,1207.3590,925
Czechia,135.7888,351.6929,10708.9810,7886
Denmark,134.4085,348.1181,5792.2020,4309
Djibouti,42.5862,110.2983,988,2320
Dominica,95.8535,248.2606,71.9860,75
Dominican Republic,222.8824,577.2655,10847.9100,4867
Democratic Republic of the Congo,38.1948,98.9246,89561.4030,234485
Ecuador,63.7299,165.0605,17643.0540,27684
Egypt,102.0843,264.3983,102334.4040,100245
El Salvador,308.2651,798.4065,6486.2050,2104
Equatorial Guinea,50.0155,129.5402,1402.9850,2805
Eritrea,30.1566,78.1057,3546.4210,11760
Estonia,29.3306,75.9663,1326.5350,4522
Ethiopia,104.1054,269.6330,114963.5880,110430
Falkland Islands (Malvinas) [2],0.2859,0.7404,3.4800,1217
Faroe Islands,35.0775,90.8508,48.8630,139
Fiji,49.0611,127.0683,896.4450,1827
Finland,16.3721,42.4038,5540.7200,33842
France,118.3145,306.4345,65273.5110,55169
French Guiana,3.5756,9.2607,298.6820,8353
French Polynesia,67.4125,174.5984,280.9080,416
Gabon,8.3153,21.5366,2225.7340,26766
Gambia,226.0893,585.5712,2416.6680,1068
Georgia,57.2334,148.2345,3989.1670,6970
Germany,234.6140,607.6502,83783.9420,35711
Ghana,130.2668,337.3911,31072.9400,23853
Gibraltar,5615.1667,14543.2817,33.6910,6
Greece,78.9685,204.5284,10423.0540,13199
Greenland,0.0262,0.0679,56.7700,216608
Grenada,327.1017,847.1935,112.5230,34
Guadeloupe,245.7764,636.5609,400.1240,162
Guam,307.4226,796.2245,168.7750,54
Guatemala,164.5306,426.1341,17915.5680,10888
Guinea,53.4164,138.3485,13132.7950,24585
Guinea-Bissau,54.4775,141.0968,1968.0010,3612
